College Name,Fees,Average Package,Highest Package,Rating,Ranking,Main Link,Reviews Link
"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai","₹ 2,36,000","₹ 23,50,000","₹ 1,00,00,000",4.4 / 5,# 1 th / 500 in India 2025,https://collegedunia.com/university/25703-iit-bombay-indian-institute-of-technology-iitb-mumbai,https://collegedunia.com/university/25703-iit-bombay-indian-institute-of-technology-iitb-mumbai/reviews
"IIT Delhi - Indian Institute of Technology [IITD], New Delhi","₹ 2,27,750","₹ 25,82,000","₹ 2,00,00,000",4.3 / 5,# 2 th / 500 in India 2025,https://collegedunia.com/university/25455-iit-delhi-indian-institute-of-technology-iitd-new-delhi,https://collegedunia.com/university/25455-iit-delhi-indian-institute-of-technology-iitd-new-delhi/reviews
"IIT Madras - Indian Institute of Technology - [IITM], Chennai","₹ 2,53,417","₹ 21,48,000","₹ 4,30,00,000",4.3 / 5,# 3 th / 500 in India 2025,https://collegedunia.com/university/25881-iit-madras-indian-institute-of-technology-iitm-chennai,https://collegedunia.com/university/25881-iit-madras-indian-institute-of-technology-iitm-chennai/reviews
"IIT Kanpur - Indian Institute of Technology - [IITK], Kanpur","₹ 2,00,000","₹ 17,20,000","₹ 1,90,00,000",4.4 / 5,# 4 th / 500 in India 2025,https://collegedunia.com/university/25948-iit-kanpur-indian-institute-of-technology-iitk-kanpur,https://collegedunia.com/university/25948-iit-kanpur-indian-institute-of-technology-iitk-kanpur/reviews
"IIT Kharagpur - Indian Institute of Technology - [IITKGP], Kharagpur","₹ 2,30,600","₹ 24,30,000","₹ 2,14,00,000",4.4 / 5,# 5 th / 500 in India 2025,https://collegedunia.com/university/26007-iit-kharagpur-indian-institute-of-technology-iitkgp-kharagpur,https://collegedunia.com/university/26007-iit-kharagpur-indian-institute-of-technology-iitkgp-kharagpur/reviews
"IIT Roorkee - Indian Institute of Technology - [IITR], Roorkee","₹ 2,24,100","₹ 18,34,000","₹ 1,30,00,000",4.3 / 5,# 6 th / 500 in India 2025,https://collegedunia.com/university/25992-iit-roorkee-indian-institute-of-technology-iitr-roorkee,https://collegedunia.com/university/25992-iit-roorkee-indian-institute-of-technology-iitr-roorkee/reviews
"IIT Guwahati - Indian Institute of Technology - [IITG], Guwahati","₹ 2,43,700","₹ 25,21,000","₹ 1,25,00,000",4.3 / 5,# 7 th / 500 in India 2025,https://collegedunia.com/university/25396-iit-guwahati-indian-institute-of-technology-iitg-guwahati,https://collegedunia.com/university/25396-iit-guwahati-indian-institute-of-technology-iitg-guwahati/reviews
"BITS Pilani, Pilani","₹ 6,38,175","₹ 22,00,000","₹ 60,75,000",4.4 / 5,# 8 th / 500 in India 2025,https://collegedunia.com/university/25800-bits-pilani-pilani,https://collegedunia.com/university/25800-bits-pilani-pilani/reviews
"IIT Hyderabad - Indian Institute of Technology - [IITH], Hyderabad","₹ 2,49,888","₹ 20,81,000","₹ 66,13,000",4.3 / 5,# 9 th / 500 in India 2025,https://collegedunia.com/university/25356-iit-hyderabad-indian-institute-of-technology-iith-hyderabad,https://collegedunia.com/university/25356-iit-hyderabad-indian-institute-of-technology-iith-hyderabad/reviews
"NIT Trichy, Tiruchirappalli","₹ 1,85,450","₹ 16,43,000","₹ 64,00,000",4.1 / 5,# 11 th / 500 in India 2025,https://collegedunia.com/university/25889-nit-trichy-tiruchirappalli,https://collegedunia.com/university/25889-nit-trichy-tiruchirappalli/reviews
