college_id,college_name,collegedunia_college_name
1,Indian Institute of Technology Bombay,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai",
2,Indian Institute of Technology Delhi,"IIT Delhi - Indian Institute of Technology [IITD], New Delhi",
3,Indian Institute of Technology Madras,"IIT Madras - Indian Institute of Technology - [IITM], Chennai",
4,Indian Institute of Technology Kanpur,"IIT Kanpur - Indian Institute of Technology - [IITK], Kanpur",
5,Indian Institute of Technology Kharagpur,"IIT Kharagpur - Indian Institute of Technology - [IITKGP], Kharagpur",
6,Indian Institute of Technology Roorkee,"IIT Roorkee - Indian Institute of Technology - [IITR], Roorkee",
7,Indian Institute of Technology Guwahati,"IIT Guwahati - Indian Institute of Technology - [IITG], Guwahati",
8,Indian Institute of Technology Hyderabad,"IIT Hyderabad - Indian Institute of Technology - [IITH], Hyderabad",
23,Indian Institute of Technology Bhubaneswar,"IIT Bhubaneswar - Indian Institute of Technology - [IITBBS], Bhubaneswar",
10,Indian Institute of Technology Indore,"IIT Indore - Indian Institute of Technology - [IITI], Indore",
11,Indian Institute of Technology Gandhinagar,"IIT Gandhinagar - Indian Institute of Technology - [IITG], Gandhinagar",
12,Indian Institute of Technology Ropar,"IIT Ropar - Indian Institute of Technology - [IITR], Ropar",
13,Indian Institute of Technology Patna,"IIT Patna - Indian Institute of Technology - [IITP], Patna",
14,Indian Institute of Technology Mandi,"IIT Mandi- Indian Institute of Technology - [IITM], Mandi",
15,Indian Institute of Technology Jodhpur,"IIT Jodhpur - Indian Institute of Technology - [IITJ], Jodhpur",
16,Indian Institute of Technology Tirupati,"IIT Tirupati - Indian Institute of Technology - [IITTP], Tirupati",
17,Indian Institute of Technology Palakkad,"IIT Palakkad - Indian Institute of Technology - [IITPKD], Palakkad",
18,Indian Institute of Technology Bhilai,"IIT Bhilai - Indian Institute of Technology - [IITB], Bhilai",
19,Indian Institute of Technology Jammu,"IIT Jammu - Indian Institute of Technology - [IITJ], Jammu",
20,Indian Institute of Technology Dharwad,"IIT Dharwad - Indian Institute of Technology - [IITD], Dharwad",
21,Indian Institute of Technology Goa,"IIT Goa - Indian Institute of Technology - [IIT Goa], Ponda",
22,Indian Institute of Technology Dhanbad,"ISM Dhanbad - Indian Institute of Technology - [IITISM], Dhanbad",
24,National Institute of Technology Tiruchirappalli,"NIT Trichy, Tiruchirappalli",
25,National Institute of Technology Karnataka Surathkal,"National Institute of Technology - [NITK], Surathkal",
26,National Institute of Technology Warangal,"NIT Warangal, Warangal",
